Sample pc1 pc2 pc3 pc4 pc5 pc6 pc7 pc8 pc9 pc10 pc11 pc12 pc13 pc14 pc15 pc16 pc17 pc18 pc19 pc20 Population Population.2
HG03782 63.4366 30.0809 78.0711 -33.4349 0.305118 -2.09635 -0.0734314 -3.34573 10.6669 -18.055 -4.44045 3.20409 -7.00487 10.9023 7.07564 -2.2183 8.0318 1.68342 6.63328 -1.72078 ITU SAS
HG03784 66.3695 21.6256 90.1628 -40.5213 -0.700397 0.758091 -1.60172 3.03605 9.99494 20.1527 21.4149 20.0724 -85.7198 -46.3626 -25.1746 16.4979 -25.0767 7.4889 -5.59262 -8.32994 ITU SAS
HG03785 66.8765 19.3605 91.7862 -43.5226 -0.781773 -0.0255962 -0.958359 -0.515766 11.3643 8.49561 6.70266 25.9979 -83.2925 -47.79 -19.9337 13.4067 -27.4103 2.47757 -4.36082 -11.7477 ITU SAS
HG03786 66.8438 22.6023 91.3181 -41.6101 0.922378 -4.22651 -1.97661 2.81928 12.5388 22.0004 23.5661 22.633 -91.6403 -45.7439 -22.7158 23.6839 -34.7134 8.54797 -9.21073 -8.1897 ITU SAS
HG03787 66.0006 17.283 83.9942 -38.4586 -2.01621 -0.517078 -0.830673 2.27569 22.8141 13.8752 -5.16999 -0.64051 -1.31116 -1.86707 0.114105 -1.58496 3.41949 -1.89884 -4.08074 -5.6479 ITU SAS
HG03788 64.5889 29.4792 76.3198 -34.1772 -1.23871 -1.73215 -1.35145 1.94572 11.1335 -6.38056 -1.36295 -1.15669 0.708574 1.76077 2.62981 0.801643 1.1151 -4.46028 -1.99967 -8.11955 ITU SAS
HG03789 66.0672 34.0857 67.4021 -27.9543 0.0626259 1.0728 -4.33343 0.887074 5.10366 6.31994 -3.96376 -4.34731 -3.60575 2.18783 3.99562 2.06764 2.02421 -2.59931 -0.175041 3.03205 ITU SAS
HG03790 64.9693 30.9475 78.1413 -33.8661 3.10255 -2.20743 -2.3709 0.0389407 11.0781 15.2282 5.11759 -12.7799 -0.677041 10.9239 0.979912 -0.155877 3.09746 0.130808 -1.0628 -2.15087 ITU SAS
HG03792 64.5352 28.8607 79.0017 -32.8359 -3.68261 -4.90876 0.341893 -3.23336 7.18089 -12.0905 1.40371 2.36448 -0.0292567 15.4128 6.60292 -0.289743 6.33028 0.112151 -2.82913 -5.53476 ITU SAS
HG03793 68.4073 11.9415 72.3337 -30.0942 2.92966 -0.714005 -1.07226 1.70952 1.2022 -13.93 -4.59099 7.18695 -6.05091 -4.50788 6.16971 5.40889 -0.237558 -0.102972 0.720482 2.59893 BEB SAS
HG03796 71.2395 -3.16882 65.278 -26.0661 -2.62456 4.33828 0.172464 0.29319 2.00334 -8.46936 3.05924 2.64362 2.49057 0.901643 7.89943 0.783157 -0.0136994 4.87811 -5.68035 8.79895 BEB SAS
HG03800 69.3356 -4.56055 69.1202 -28.7085 -6.29978 4.63887 1.38724 0.893492 11.9276 1.76157 -4.15317 3.1095 3.45802 0.230156 4.33201 -5.75298 5.40303 -2.27512 2.5425 7.26765 BEB SAS
HG03802 69.1795 11.5171 72.1305 -29.1458 -3.16542 3.2518 1.35432 -1.66054 5.87175 -11.9148 -3.70133 6.02409 0.765892 3.74434 2.34018 1.48812 2.91283 -0.766798 -1.21904 3.55744 BEB SAS
HG03803 68.4348 11.3913 68.6969 -26.1532 2.4341 0.782609 -0.612952 -0.354558 5.10254 12.0526 -0.186564 -1.65094 5.78654 -4.08376 0.343743 -1.28836 1.24055 4.92339 -6.79581 4.88044 BEB SAS
HG03805 68.7249 9.2958 69.053 -28.4622 -2.71841 5.00619 0.622402 -0.262157 9.09574 -12.4286 -1.56313 9.48945 -3.6963 -6.51222 1.31723 -0.667462 -3.79466 -0.27565 -0.559046 3.81015 BEB SAS
HG03808 70.6099 5.58711 64.916 -27.3511 -2.06399 -0.942423 -1.12074 -0.675109 10.9374 0.144011 2.63619 -1.48676 -3.52118 5.36327 -0.466575 0.134882 -2.35724 0.156112 -0.962112 5.41673 BEB SAS
HG03809 71.746 11.1077 66.6609 -30.4388 -1.29143 -1.22256 -2.94226 0.639657 8.79061 10.6088 0.131573 -8.93982 5.18827 -6.46009 -1.87741 1.07568 3.64777 -0.203276 -3.79545 -3.27631 BEB SAS
HG03812 70.7024 8.51085 69.3155 -25.3934 -1.12512 1.71059 -0.261096 2.04911 3.94478 0.21307 -3.14787 -3.30896 1.0487 -2.70635 0.184612 -1.16377 1.82287 2.67628 -1.46 8.16371 BEB SAS
HG03814 72.5278 5.39372 67.3142 -25.6016 -2.8066 4.47185 0.44774 -2.65687 2.53258 -5.7373 0.443998 -1.06598 1.40135 2.05613 0.263706 0.918068 4.39891 0.603858 -3.31047 0.357943 BEB SAS
HG03815 69.7356 5.92866 63.8657 -27.8274 -2.27811 1.73455 -3.20367 -1.4833 8.60793 4.87681 -1.31137 -6.74484 3.27607 -5.81628 1.48212 -1.22907 2.0861 2.50527 -9.77694 7.19886 BEB SAS
HG03817 70.054 9.00045 71.1767 -27.6781 -3.65438 3.76047 -0.435466 -0.767037 7.62814 -14.8118 0.826534 5.64814 -1.45291 -2.32575 0.0573777 0.00468487 3.38727 -0.654428 -2.75491 6.34475 BEB SAS
HG03821 67.1395 9.70868 70.7026 -27.6013 2.55436 0.00683919 -0.151637 0.663106 2.96951 -13.4161 -4.00444 6.5377 -10.438 7.20585 3.41403 2.34722 -3.57072 -1.78916 0.0269155 6.44111 BEB SAS
HG03823 71.4924 11.8093 69.548 -31.7664 -4.10398 4.65288 0.397575 0.625006 7.93753 5.4444 0.0507565 2.56873 -13.0056 0.690729 3.66525 -0.792199 -0.241536 1.54599 1.77574 -2.50689 BEB SAS
HG03824 70.3173 5.25177 63.1633 -26.3367 -1.17831 5.99869 -0.152547 1.46149 8.69832 17.4459 -3.61843 -9.85715 2.25284 -3.59695 0.880846 -3.69628 0.358006 5.62068 -3.00816 2.92273 BEB SAS
HG03826 69.813 11.1257 66.4738 -26.4943 1.65127 -0.946144 -2.09194 -1.13041 5.98267 15.744 -1.45496 -2.72007 5.82398 -3.53625 5.84546 -0.584167 -4.75898 -1.49964 -7.60749 7.56785 BEB SAS
HG03829 71.5277 5.32542 68.2931 -27.3144 -2.5863 0.581896 -1.61086 -0.181518 8.41375 0.631188 -0.0599755 0.803546 3.10336 -3.93015 7.90205 -0.0645512 -5.66234 3.65102 -0.125036 0.489616 BEB SAS
HG03830 70.5531 5.65274 66.8791 -25.3156 -0.19159 1.30218 1.71835 -0.527572 6.70741 0.688516 1.61464 7.34423 -7.89463 0.859212 -0.831415 -3.31751 0.900324 -0.251035 -2.13191 3.19034 BEB SAS
HG03832 68.5976 7.24201 69.4981 -27.8105 3.61976 3.77807 0.840601 -0.481136 5.49836 -15.859 -1.35052 3.7275 -5.89508 -2.39946 6.41793 0.970795 -1.15007 9.31697 -3.98554 7.53553 BEB SAS
HG03833 70.1088 8.54095 65.502 -25.2577 -0.194849 2.28171 1.13319 -1.37116 -1.72068 -10.7992 -3.08097 6.3514 -4.71159 2.76555 9.64662 0.814365 -2.31893 2.43233 3.65926 5.5927 BEB SAS
HG03836 64.4936 26.6351 76.9038 -31.6079 -1.21109 -3.49896 -2.54089 1.17373 17.0026 3.33013 1.92628 -5.45127 -9.60006 14.8975 13.2919 -0.735765 18.6726 1.76583 6.72463 -6.4851 STU SAS
HG03837 63.9305 23.2694 82.1979 -36.262 1.52618 -5.03195 2.12215 1.19114 14.5528 -10.3474 -2.66387 -2.34863 -0.930799 19.9468 4.1984 -2.67796 9.30095 -2.73591 2.93929 -12.7952 STU SAS
HG03838 66.3311 19.4211 80.7185 -31.5253 0.411032 -1.1442 -1.85273 1.3222 19.0549 3.0736 -2.55653 1.6583 2.28222 2.84294 2.69606 1.6765 12.1892 2.66362 -4.86773 3.17257 STU SAS
HG03844 64.3637 21.4376 79.027 -33.6348 1.49157 -0.806095 -3.03195 1.43179 17.0949 18.5528 -1.6427 -4.97929 6.60482 8.6629 5.26169 -3.00273 8.73388 4.00527 -0.38206 0.546705 STU SAS
HG03846 65.7767 19.3198 85.304 -36.8634 0.129568 -2.6914 -1.63318 0.146744 17.8137 6.06807 -1.84859 -6.40271 3.40751 9.17279 6.11753 1.27309 6.34872 -4.89393 1.80137 -1.45885 STU SAS
HG03848 66.2605 23.9173 81.2779 -37.7571 -1.85706 -3.30134 0.19221 -0.574551 11.4256 -3.81655 -0.684658 -4.94801 -5.2612 10.193 4.38719 -2.23238 9.4748 2.87135 5.1013 -8.42523 STU SAS
HG03849 64.6781 22.3659 81.3532 -36.959 0.987417 0.469054 -0.613718 -0.979821 12.1992 -19.44 -1.20547 8.04071 -9.98865 12.9518 0.523776 -1.30721 5.65375 -3.32156 2.11712 2.85666 STU SAS
HG03850 66.9807 24.656 79.8735 -34.6862 -1.25276 -2.62442 -1.55554 -0.140108 18.4573 -9.23744 1.15692 6.22687 -8.10492 9.29344 5.10932 0.665902 11.6094 -0.136706 7.59864 2.92431 STU SAS
HG03851 65.3675 24.0604 81.5728 -33.8565 -0.076063 -2.68176 -1.1237 -1.21638 13.0085 6.2958 1.15683 -5.11766 -0.642362 11.8529 4.01288 -2.27071 14.1466 4.03658 -1.74534 -0.337968 STU SAS
HG03854 65.3363 23.5757 80.0331 -34.0957 -2.32757 -0.617735 0.901149 0.0373272 20.7003 -11.0726 -0.0204935 -2.73285 -7.68452 24.4215 5.80776 -0.603868 17.4062 -5.58659 6.69754 -5.17985 STU SAS
HG03856 69.1598 5.48701 90.0372 -42.1396 0.857602 1.24281 -0.057177 0.268715 20.6457 2.82509 -0.258387 5.89814 -0.0392732 -8.41867 0.419431 -0.444456 12.5971 3.39511 -2.5904 -7.33285 STU SAS
HG03857 65.0198 22.8264 83.0218 -33.2142 -0.60619 0.671257 0.735334 2.73477 12.1911 -15.1087 1.96312 5.02123 -1.92046 0.061224 -1.57091 -0.783231 10.1104 -2.92692 2.39784 4.30674 STU SAS
HG03858 63.4416 16.0801 84.5325 -35.4253 2.59235 -4.98883 -5.28689 0.512899 20.7523 16.4574 8.14885 -12.2073 9.31657 5.49485 3.09984 -3.49126 10.56 -5.02256 -4.65424 0.15971 STU SAS
HG03861 66.697 23.3608 90.2208 -43.346 -0.382295 0.723333 -0.210434 -0.166416 11.8758 3.3165 12.2268 29.9723 -99.1227 -48.5293 -16.6325 14.6039 -27.3024 4.20048 -2.29641 -4.8428 ITU SAS
HG03862 65.8454 29.6644 76.0467 -34.4401 -3.33144 -3.11657 3.32405 3.43108 8.59011 8.22199 11.3299 -18.3653 -5.1284 15.147 11.2976 1.06229 5.09375 -0.283338 9.69906 -16.884 ITU SAS
HG03863 63.7194 27.4284 78.5613 -33.1314 3.02431 -3.48121 -0.283149 0.838075 10.8183 -16.3198 1.25188 -3.76059 -5.41959 7.17435 3.55909 3.61218 4.70788 -1.78391 0.769884 7.90652 ITU SAS
HG03864 64.5878 28.5055 79.1427 -34.6267 3.10572 -2.02432 -2.21734 -2.10908 13.3847 6.69382 8.26424 -9.7382 -7.74907 10.579 5.60966 -0.682561 5.12874 1.87452 3.60577 -3.22277 ITU SAS
HG03866 65.5625 25.7829 82.1997 -34.612 4.68269 -5.25272 -1.19883 0.51672 19.1489 3.18663 6.11275 -5.2047 3.79061 17.0094 14.2548 -1.21735 14.1282 7.25552 11.1889 -14.8235 ITU SAS
HG03867 66.3298 11.9096 82.7386 -37.5932 -2.024 -0.645849 -3.86127 -1.46903 23.7259 14.809 -1.86924 -0.69479 10.3416 -6.30907 -2.77328 -3.6738 3.38941 0.0567985 -2.45929 -7.27059 ITU SAS
HG03868 68.4359 30.1559 76.3768 -32.5088 -3.36123 -2.78149 1.63193 -1.263 5.45713 -12.1964 4.53156 -4.40132 1.27626 14.2804 1.61827 -2.84381 4.1667 -7.83647 6.52773 -0.283681 ITU SAS
HG03869 65.4289 28.6697 77.293 -34.2113 0.713566 -5.47268 -0.976467 0.277052 11.0301 -1.04277 5.92424 -10.4812 0.177665 6.05492 4.42416 2.48726 6.06683 -0.496977 -1.20816 -7.15575 ITU SAS
HG03870 66.9507 29.7679 79.8592 -37.5629 -4.27483 -4.03676 -0.862489 -1.1592 11.2542 -5.55756 1.22889 0.660827 -9.54632 13.1245 6.62981 0.291212 4.82781 -2.98536 1.03052 -11.6894 ITU SAS
HG03871 64.8936 29.7902 81.6929 -34.0603 -1.49418 -2.65068 1.96827 -2.3557 8.0527 -6.90287 2.72056 4.17465 -12.7595 8.95108 6.62417 -4.69767 7.45184 -3.98109 -1.42912 -2.28521 ITU SAS
HG03872 63.4536 27.9404 78.183 -36.4661 -0.278586 -2.0713 0.901882 1.7444 6.45449 -3.93082 4.15368 -7.80053 -4.871 18.2906 0.526033 2.46709 12.8617 -0.459454 2.84921 0.41827 ITU SAS
HG03873 64.6566 24.2663 85.4334 -38.2291 3.64392 -1.20177 -0.142278 -2.85117 28.0748 5.09228 8.04556 -3.00647 -4.94211 33.6906 22.9723 0.768148 11.6461 19.0121 18.0554 -11.8902 ITU SAS
HG03874 65.8651 25.2896 74.3171 -29.2867 1.86876 -2.69242 -3.26302 -0.672773 3.67953 -16.7679 0.334207 -1.18433 -3.03243 8.86079 2.33911 -2.39719 2.83212 1.62931 1.79465 -1.33294 ITU SAS
HG03875 65.8477 36.7474 64.4669 -23.3813 -1.12213 -0.53377 0.482331 1.41915 7.35891 4.4161 9.21221 -7.38907 1.06308 7.52543 7.97543 2.3624 -2.2702 -7.55411 -6.09167 -9.65378 ITU SAS
HG03882 62.7212 29.8004 78.7433 -37.5086 1.09373 -2.72557 0.088076 0.180377 14.6554 -5.95303 -1.50657 0.753586 -1.86039 12.2114 1.65316 -3.8526 5.47955 -2.52177 3.38298 -2.38943 ITU SAS
HG03884 65.4948 23.4283 83.2424 -34.7173 1.67177 -0.0390144 -1.38569 -0.823737 14.4293 -14.5408 4.12918 -5.58805 -6.4566 22.1464 7.02531 -1.7639 11.067 -8.13718 4.46768 -3.22601 STU SAS
HG03885 65.1573 23.6627 78.9469 -35.632 1.54421 2.33007 -2.99188 2.04604 18.3549 18.2889 2.0742 -3.73745 1.55657 9.05512 1.36412 -3.43188 9.13504 3.09499 -2.04387 3.15917 STU SAS
HG03886 64.786 25.0856 82.8148 -37.333 -1.71968 -4.53919 3.2525 -1.43993 18.2164 -17.2332 -4.28902 0.345961 -10.6217 12.2022 7.52647 -3.85488 8.05426 0.810834 2.55247 -2.91002 STU SAS
HG03887 65.4997 23.6981 81.1619 -36.4109 -3.53865 -1.35438 -1.03113 -1.91671 14.6308 -0.457002 2.73129 0.771478 1.42862 8.91572 4.69044 1.26885 5.17002 -5.21002 0.841647 -2.82524 STU SAS
HG03888 65.7856 39.5547 66.6398 -25.3543 1.02602 1.46769 0.797802 -0.300417 2.08968 -13.5255 -0.213879 3.45493 -1.6876 2.74429 9.7819 3.29104 2.41332 -3.3489 -5.24246 -3.36688 STU SAS
HG03890 62.9877 20.9365 80.7058 -35.6568 -0.385889 -0.496741 2.20039 -0.721062 10.6365 -13.586 1.29167 5.81275 -7.9845 18.45 8.30113 -0.217798 6.23555 2.00754 3.97363 -3.38313 STU SAS
HG03894 63.1182 22.6213 82.1255 -34.9695 -0.941992 -0.51681 0.827909 0.850098 16.8988 4.40638 -0.780613 -0.611553 -2.47543 9.4855 5.12235 -3.46436 13.8457 0.859745 -1.85831 -6.1178 STU SAS
HG03895 64.1068 24.0457 79.0547 -35.5228 2.18281 -2.53054 1.23092 -2.03057 17.3299 -14.8944 1.64156 1.22056 -5.10029 18.1039 4.97541 3.31646 19.4888 -3.45964 4.21283 -3.20685 STU SAS
HG03896 65.1506 19.6386 85.5747 -38.4278 -2.12116 -1.50393 -0.201492 0.0554042 24.1491 2.24755 -1.17254 -1.23627 -0.521193 10.4109 4.23393 -0.805945 11.2327 -7.88637 -3.53854 -6.01153 STU SAS
HG03897 65.6743 27.1299 78.4165 -32.2169 -3.30081 -3.05572 -1.47449 2.59109 15.015 0.339193 3.86599 -6.05068 -3.49322 3.79135 3.30567 -0.94564 6.79553 0.916456 5.06844 -1.71523 STU SAS
HG03898 62.5572 23.5371 83.611 -36.1537 -1.2678 -2.24993 -0.947685 1.50064 25.7792 4.49413 1.29618 -4.71644 -4.76352 15.5954 3.3445 -11.7864 73.9698 20.3754 -17.1552 60.5666 STU SAS
HG03899 67.5208 22.3036 82.2615 -34.6035 2.19841 -0.233594 -2.4243 6.2905 41.7193 43.4651 5.63792 -31.1836 3.98673 14.556 -10.8282 -12.7142 149.289 36.0245 -36.8393 118.778 STU SAS
HG03900 65.7713 23.5758 78.7883 -33.4187 5.78719 -1.32989 -2.22129 0.555579 18.573 15.6012 2.67302 -6.49147 -0.712702 13.1966 2.93875 -5.29025 10.2452 -3.48266 5.73645 -4.21645 STU SAS
HG03902 70.2756 14.8479 66.8315 -28.7922 -2.39904 2.17448 -0.0294818 0.0691705 2.53192 -1.28682 2.28825 6.26344 -8.43112 -2.94297 -4.96557 1.21861 -1.23336 -0.712579 -0.940678 5.86976 BEB SAS
HG03905 70.4102 8.61048 67.6121 -28.2014 -1.00769 -1.15635 0.637275 -1.71327 6.47858 -17.8104 -5.19893 5.43122 3.2508 -3.96754 -1.13189 -0.265644 -3.17541 -0.0794329 -4.59852 4.46984 BEB SAS
HG03907 69.3896 7.9484 71.128 -27.5207 -2.53589 0.413192 0.437037 2.23699 5.48736 -13.407 -0.0140975 3.49747 0.537792 -1.72277 3.93403 -3.07164 2.13489 3.32617 0.775112 -0.897483 BEB SAS
HG03908 67.6736 13.5665 70.293 -30.8681 -0.724838 3.07968 3.38481 -1.54692 4.91797 -10.7754 -1.59114 3.1111 -5.63945 -4.41112 4.65975 0.374497 7.16715 2.54432 -1.50368 -0.624099 BEB SAS
HG03910 72.022 7.43977 66.3385 -25.6064 -0.738449 1.96899 -1.20462 1.07956 7.65427 19.2805 4.92721 -0.446064 5.36957 -1.04555 5.76314 -3.31466 -2.13051 5.97988 1.00464 0.69142 BEB SAS
HG03911 68.704 14.3607 68.9405 -28.7184 0.98308 1.70309 -2.6181 1.67135 2.31024 -12.1331 -3.59773 8.55923 0.988548 -0.623912 12.734 4.14025 9.99455 -2.77155 1.87669 5.06107 BEB SAS
HG03913 71.9111 10.481 67.2009 -27.3016 -2.72968 2.58468 -0.3643 1.28393 14.1325 10.5882 -3.82341 -8.88346 0.992351 -2.48268 2.39338 -1.94097 -4.27284 -6.39129 -0.555484 2.38996 BEB SAS
HG03914 71.1415 8.43124 68.7091 -28.1329 -1.90922 3.52176 1.76109 -0.177213 7.07851 10.6745 2.83441 -0.383277 -4.4643 -8.21553 -2.61224 2.10481 -6.5846 3.84476 -1.87449 2.09509 BEB SAS
HG03916 69.501 6.95292 68.6661 -27.3503 -1.15628 0.0120297 1.50203 1.55742 11.4067 5.34803 -1.68713 0.661953 3.67338 -2.9852 8.27841 3.82809 -5.88647 1.89549 -3.46046 3.61159 BEB SAS
HG03917 70.0264 6.39577 67.4229 -25.6322 -6.46127 2.93205 0.156897 -3.00074 5.10426 -10.6697 -0.160048 12.5383 -3.00745 0.955074 1.7675 -1.08627 6.06073 3.7273 1.12507 8.74597 BEB SAS
HG03919 66.6304 26.8309 68.3467 -28.8163 1.61619 -0.346582 0.0723642 0.785847 5.91555 -7.93549 -2.12326 2.50872 2.69311 2.90993 2.03608 3.10558 3.83163 0.124389 2.42245 -1.14503 BEB SAS
HG03920 70.3245 11.4573 71.8069 -29.1408 0.858759 3.36334 -2.85495 -1.74812 10.1575 -9.12702 -0.278729 3.94271 -1.38061 -2.23741 0.659741 1.18638 -2.45639 -2.41089 -6.55844 8.50929 BEB SAS
HG03922 70.8213 7.5449 65.3374 -27.0468 3.99868 3.36082 0.563433 -0.328443 8.30802 3.8708 -3.506 -3.26224 -0.555682 -4.16873 1.45806 -1.22648 1.88484 1.34178 -1.47344 7.80881 BEB SAS
HG03925 68.2538 9.56925 68.5481 -25.7694 1.95282 2.98883 0.654621 -1.03844 1.41352 -7.33702 -1.18815 7.24885 -0.118748 0.412891 6.0639 -0.293878 -5.79758 3.42673 -3.51441 -2.5731 BEB SAS
HG03926 69.1633 4.54175 62.9569 -23.9831 -4.40064 0.0133137 2.20675 -0.939954 9.06308 1.47036 -0.777386 1.85419 -2.10166 -1.14893 0.0771027 -5.76048 2.90203 -2.54587 -1.4951 7.56584 BEB SAS
HG03928 67.015 8.2999 69.4765 -27.6824 -3.989 5.77686 2.12051 -1.34504 11.951 -16.2576 -1.73644 8.29405 -4.35634 2.27573 -0.160145 -3.02462 -5.08666 -1.25064 -2.68569 8.96009 BEB SAS
HG03931 69.6769 6.42866 66.1905 -27.4965 -0.369753 4.5009 0.560096 -0.351744 4.26467 2.04604 5.59594 3.36247 -0.936206 -1.2251 0.484949 -0.684512 -1.27601 -0.228138 -0.654115 0.115246 BEB SAS
HG03934 69.1674 9.00329 67.3489 -25.1114 0.288018 5.01941 1.03949 -0.442615 5.76751 -19.4716 -3.43228 5.93866 -5.77938 3.54593 1.21937 -2.15809 -0.533732 -0.809439 -1.62741 -0.117908 BEB SAS
HG03937 71.5846 9.28011 72.0989 -30.1839 -2.07276 0.929255 -0.847662 -2.18436 -4.20834 -11.3703 -7.19148 10.0464 -4.96961 -1.47635 1.35634 -1.74538 -0.930801 7.75453 0.662606 2.30329 BEB SAS
HG03940 65.0843 15.7767 87.6112 -39.7977 2.74811 2.04934 -4.71416 -1.22287 10.7627 16.101 -3.27226 4.0442 -2.93298 -10.7443 -5.32764 0.681266 0.0149018 0.13658 -4.07938 3.77486 BEB SAS
HG03941 67.369 12.3428 86.3064 -41.6459 2.03424 3.30361 0.608897 -0.34083 11.6933 -0.992687 -1.55153 7.31665 -5.68601 -7.55397 2.24376 4.47401 0.764134 -5.83104 -7.12707 11.4127 BEB SAS
HG03943 66.0446 24.2483 83.3922 -35.3741 -0.680681 -0.758609 -1.60202 -1.57314 18.4165 -3.20897 3.58221 4.28113 -0.367438 16.664 4.13724 1.25446 11.3855 -0.27727 0.733242 -1.40266 STU SAS
HG03944 65.0544 25.8239 80.5736 -34.2273 -1.82344 0.407156 2.17578 1.16729 17.9699 3.31644 -3.44729 -2.90503 -4.66418 11.2155 9.04963 -6.12809 12.4487 -2.75781 1.27734 -5.90626 STU SAS
HG03945 65.0933 25.3937 73.9859 -31.96 0.780801 -1.98604 -3.22002 0.0854362 20.1238 16.8049 -1.15159 -3.25279 2.02245 1.51167 6.48425 -5.08884 6.9995 6.26477 -0.883661 -4.35316 STU SAS
HG03947 66.0691 19.4526 82.0908 -36.1776 0.147784 -1.8338 -1.53584 -0.733307 15.1733 12.8952 -2.60414 -8.50268 4.90714 4.56383 -0.433538 0.348842 -1.70281 -6.79603 -2.2865 -1.415 STU SAS
HG03949 65.5889 24.9411 81.4627 -36.7909 0.742282 1.43077 -1.09537 1.84134 15.7472 -11.5989 3.7648 1.66972 -8.83028 9.99005 7.08955 4.37733 4.17679 -1.16848 5.73144 -3.58691 STU SAS
HG03950 65.4144 19.9995 80.6418 -34.7989 -1.22555 -3.23456 0.990779 -3.22031 9.20246 -8.14581 3.52178 -0.336482 -2.69249 8.45405 0.565843 -1.72078 12.4904 -7.12048 0.283258 1.26245 STU SAS
HG03951 63.4813 24.7014 80.8799 -35.7795 -2.65027 0.174808 -1.76342 2.82169 16.3461 0.354773 3.23727 -2.26164 2.07561 13.2498 3.13763 -4.11792 11.5291 -9.58324 4.32171 -5.53791 STU SAS
HG03953 64.0921 23.6379 80.6127 -30.8709 0.212803 -3.0164 -1.90139 -1.84426 12.0133 13.5836 0.57644 -9.34363 5.55559 12.2527 9.47924 -2.50812 13.751 5.61849 2.03487 -3.53398 STU SAS
HG03955 63.1505 26.8749 82.5976 -36.8381 0.116816 1.91945 0.340541 3.83829 18.792 16.9961 6.77254 -9.77511 -0.892716 11.8125 -2.60156 -11.9143 76.8041 14.9348 -19.1119 57.3332 STU SAS
HG03960 66.2311 22.8729 75.7299 -36.1559 0.979295 -2.56168 -2.80972 -0.375122 14.4584 11.8841 6.12221 -9.5371 0.977207 0.644259 -1.36476 -1.49565 -0.254377 -0.217655 -1.62067 1.81963 ITU SAS
HG03963 65.3277 23.1399 80.5829 -36.3265 3.66157 -0.957169 1.32021 -1.19587 13.4383 5.80944 2.25752 -5.55733 -10.1147 5.0388 3.13849 -0.0896078 0.335747 -3.07001 -1.46167 -1.47558 ITU SAS
HG03965 65.5208 15.7326 80.5301 -36.2127 -1.8695 -1.10478 -1.05449 -0.522244 13.9398 9.07132 2.37836 -0.572589 -8.24011 2.26693 4.10269 -0.951404 4.63506 1.13297 2.47444 -0.32421 ITU SAS
HG03967 66.0535 28.8845 78.1088 -32.3881 2.15325 -6.30889 2.96981 3.16147 14.96 7.79086 9.81592 -5.56782 1.27943 5.2679 0.117332 -5.0534 1.19484 -3.62214 0.779113 -5.4439 ITU SAS
HG03968 63.5416 27.9826 80.7596 -35.2494 -0.191476 -0.767411 1.48844 -0.268288 3.78502 -13.6416 6.17828 1.59378 -3.29513 7.78429 8.9494 -4.35124 5.89576 2.79781 5.297 -0.81108 ITU SAS
HG03969 65.4871 27.9211 79.5993 -33.8214 3.71156 0.193512 -2.1857 -1.31932 11.1705 -11.1942 3.81556 4.2963 -6.67487 13.7814 5.17837 -2.46871 4.49992 -6.14875 2.48349 -1.6515 ITU SAS
HG03971 65.4647 27.0137 76.0017 -33.4887 1.72573 -0.270742 -0.926645 -1.19752 18.9492 -0.792894 5.64846 -3.72377 -9.50966 3.97779 2.59855 -0.80178 1.51246 1.89194 6.42687 4.53694 ITU SAS
HG03973 64.1939 27.6956 80.3925 -33.0454 1.2552 -3.32294 -1.3224 -0.345983 6.90875 0.868038 6.99623 -6.13028 -11.6555 12.0861 3.32393 1.74248 5.92181 -5.45863 -1.74981 3.25765 ITU SAS
HG03974 64.9514 27.5104 78.9933 -33.1245 -2.84532 -2.99023 -1.24415 -0.617362 17.452 2.21728 2.31807 -3.66632 -10.8318 5.77391 4.36942 3.1114 -2.85218 -1.32112 -5.30718 -1.63392 ITU SAS
HG03976 65.0579 22.8823 81.0968 -34.72 1.1436 0.67638 1.91732 -3.26074 8.65316 -23.765 -9.00461 7.26034 -4.66935 12.3775 6.34811 0.863018 7.92879 -4.08559 -1.50133 -6.46169 ITU SAS
HG03977 66.0937 9.52278 92.2077 -41.6938 1.29602 -3.26372 -0.260711 2.10977 22.4706 16.868 0.21154 -1.80645 7.18459 -3.23823 -0.277585 -0.308 8.50928 -0.0985726 -3.08178 -5.24897 ITU SAS
HG03978 66.1616 17.8276 83.9636 -36.5517 1.28653 0.455724 -2.18127 -0.997414 17.3562 16.2422 4.53015 -1.23398 -4.71763 -6.65897 -6.91264 2.39764 -4.2709 -0.467268 3.09955 0.282064 ITU SAS
HG03985 64.7914 13.8953 86.2553 -38.2987 -1.09619 -5.04837 2.35831 -0.318912 20.3325 -12.2652 -1.34594 9.17647 -2.6308 5.94054 12.1109 -0.0969672 9.64306 2.32128 -3.43596 1.48493 STU SAS
HG03986 64.973 24.3026 77.4129 -36.2745 0.565088 -3.38072 -3.41457 -0.236422 16.3573 17.4639 2.27051 -8.35054 0.79542 4.8309 -2.79729 -4.75873 13.0287 -2.43016 3.39544 -8.70424 STU SAS
HG03989 66.8191 24.2136 80.5986 -33.2294 2.01316 -1.57983 1.94087 0.0280674 18.4217 5.47485 -3.13774 1.82439 -1.10195 3.90388 8.50463 -1.92631 8.59597 2.0353 5.13158 -2.18189 STU SAS
HG03990 66.6738 18.7712 82.5474 -37.1819 0.662603 2.58144 1.56608 1.82742 14.2507 5.05212 -0.565083 1.91794 -0.400396 3.21939 2.24328 0.0542915 10.5814 -1.23747 3.15823 1.16373 STU SAS
